Designator,Mid X,Mid Y,Rotation,Layer
Q2,114.933982,-34.451006,180.0,top
Q3,114.933182,-27.217806,180.0,top
Q4,42.1546,-61.3054,0.0,top
Q5,38.2684,-61.3206,180.0,top
Q6,74.012137,-61.3054,0.0,top
Q7,70.125937,-61.3206,180.0,top
Q8,110.549482,-50.703506,180.0,top
Q9,102.008982,-61.929306,180.0,top
R1_2,119.141112,-110.0582,90.0,top
R1,29.9954,-34.8234,180.0,top
R10_2,109.692312,-113.7412,90.0,top
R10,29.7434,-43.434,90.0,top
R11_2,119.141112,-112.524,90.0,top
R11,46.609,-63.2948,90.0,top
R12_2,110.759112,-113.7666,90.0,top
R12,38.225,-58.8518,180.0,top
R13_2,119.141112,-107.6432,270.0,top
R13,45.0322,-51.8414,180.0,top
R14_2,104.461912,-112.1918,0.0,top
R14,51.9938,-50.0888,0.0,top
R15_2,117.972712,-114.4016,180.0,top
R15,41.4528,-58.8264,180.0,top
R16_2,93.739112,-83.0072,180.0,top
R16,61.600937,-43.434,90.0,top
R17_2,93.487112,-91.6178,90.0,top
R17,49.0982,-49.9364,0.0,top
R18_2,108.598112,-96.1136,180.0,top
R18,56.261,-54.1782,0.0,top
R19_2,110.555912,-97.0788,180.0,top
R19,47.2714,-51.8414,180.0,top
R2_2,98.135312,-93.9546,180.0,top
R2,61.852937,-34.8234,180.0,top
R20_2,109.031912,-93.3958,180.0,top
R20,55.3974,-59.4594,270.0,top
R21_2,109.031912,-92.1074,180.0,top
R21,46.609,-60.7528,90.0,top
R22_2,109.031912,-90.8304,180.0,top
R22,55.3974,-61.8744,90.0,top
R23_2,108.699712,-88.4682,180.0,top
R23,78.466537,-63.2948,90.0,top
R24_2,110.733712,-108.0282,90.0,top
R24,78.466537,-60.7528,90.0,top
R25_2,111.087312,-106.5784,0.0,top
R25,73.310337,-58.8264,180.0,top
R26,70.082537,-58.8518,180.0,top
R27,87.254937,-59.4594,270.0,top
R28,87.254937,-61.8744,90.0,top
R29,110.991482,-47.015006,270.0,top
R3_2,109.641512,-118.0338,90.0,top
R3,111.087382,-31.089806,270.0,top
R30,112.393982,-38.885006,90.0,top
R31,111.499482,-53.873006,270.0,top
R32,112.128982,-42.377006,90.0,top
R33,112.261482,-44.729006,90.0,top
R34,111.123982,-38.257006,270.0,top
R35,110.991482,-62.761006,90.0,top
R36,93.465482,-43.433606,90.0,top
R37,109.571682,-54.362306,270.0,top
R38,108.327182,-62.761706,270.0,top
